vpcId,stateReason,instanceId,imageId,keyName,tagName,clientToken,subnetId,amiLaunchIndex,publicDnsName,instanceLifecycle,platform,publicIpAddress,kernelId,privateIpAddress,stateTransitionReason,spotInstanceRequestId,tagType,privateDnsName,license,launchTime,architecture,rootDeviceType,ramdiskId,iamInstanceProfile,rootDeviceName
,,i-739c161a,ami-1c5db975,taf-keypair,databases-one,,,0,ec2-174-129-108-134.compute-1.amazonaws.com,,,174.129.108.134,aki-a71cf9ce,10.250.99.16,,,db-node-1,ip-10-250-99-16.ec2.internal,,1234447481000,i386,instance-store,ari-a51cf9cc,,
,,i-77681a1e,ami-3c47a355,taf-keypair,widget-node,,,0,ec2-174-129-107-192.compute-1.amazonaws.com,,,174.129.107.192,aki-a71cf9ce,10.251.125.242,,,widget-node-2,ip-10-251-125-242.ec2.internal,,1242193539000,i386,instance-store,ari-a51cf9cc,,
,,i-c5f18aac,ami-3c47a355,taf-keypair,mytaf-node,,,0,ec2-174-129-195-163.compute-1.amazonaws.com,,,174.129.195.163,aki-a71cf9ce,10.251.41.235,,,mytaf-node,ip-10-251-41-235.ec2.internal,,1242825367000,i386,instance-store,ari-a51cf9cc,,
,,i-c22784a1,ami-0fe59066,taf-webservers,kafka,,,0,ec2-50-16-203-57.compute-1.amazonaws.com,,,50.16.203.57,aki-a71cf9ce,10.170.14.83,,,kafka,ip-10-170-14-83.ec2.internal,,1370452124000,i386,instance-store,ari-a51cf9cc,,
,,i-4bd59421,ami-4234de2b,taf-keypair,databases-slave,,,0,ec2-204-236-193-253.compute-1.amazonaws.com,,,204.236.193.253,aki-da37ddb3,10.220.15.239,,,db-slaves,domU-12-31-38-04-0C-01.compute-1.internal,,1283333019000,x86_64,instance-store,,,
,,i-e109018b,ami-98699cf1,taf-keypair,staging,,,0,ec2-75-101-128-164.compute-1.amazonaws.com,,,75.101.128.164,aki-a71cf9ce,10.250.55.148,,,staging,ip-10-250-55-148.ec2.internal,,1285748745000,i386,instance-store,ari-a51cf9cc,,
,,i-44f6ef2b,ami-3a49b653,taf-keypair,mtaf-node,,,0,ec2-50-19-94-54.compute-1.amazonaws.com,,,50.19.94.54,aki-a71cf9ce,10.250.11.239,,,mtaf,ip-10-250-11-239.ec2.internal,,1305103556000,i386,instance-store,ari-a51cf9cc,,
,,i-7f09301e,ami-06ad526f,taf-ing-tmx,tmx-databases,,,0,ec2-50-16-245-2.compute-1.amazonaws.com,,,50.16.245.2,aki-407d9529,10.251.198.131,,,tmx-databases,ip-10-251-198-131.ec2.internal,,1314178913000,i386,ebs,,,/dev/sda1
,,i-044baa66,ami-73e2281a,taf-webservers,databases-two,,,0,ec2-107-22-219-205.compute-1.amazonaws.com,,,107.22.219.205,aki-a71cf9ce,10.250.47.134,,,db-node-2,ip-10-250-47-134.ec2.internal,,1323654633000,i386,instance-store,ari-a51cf9cc,,
,,i-6cc95b07,ami-3fec7956,taf-developers,hadoop-1,NEXsi1368077192170,,0,ec2-23-22-75-20.compute-1.amazonaws.com,,,23.22.75.20,aki-88aa75e1,10.118.177.247,,,,ip-10-118-177-247.ec2.internal,,1372762830000,x86_64,ebs,,,/dev/sda1
,,i-980647f9,ami-68621b01,taf-databases,data-analysis-slave-db,MXLnU1374226177529,,0,ec2-184-73-230-97.compute-1.amazonaws.com,,,184.73.230.97,aki-427d952b,10.157.40.230,,,data-analysis-slave-db,ip-10-157-40-230.ec2.internal,,1374226178000,x86_64,ebs,,,/dev/sda1
,,i-4870ad22,ami-dfd3bfb6,taf-developers,hadoop-2,tHsKb1368093168571,,0,ec2-184-73-143-170.compute-1.amazonaws.com,,,184.73.143.170,aki-88aa75e1,10.202.145.102,,,,ip-10-202-145-102.ec2.internal,,1372762393000,x86_64,ebs,,,/dev/sda1
,,i-d3a133b5,ami-ea0eaa83,taf-webservers,widget-node,,,0,ec2-23-20-111-67.compute-1.amazonaws.com,,,23.20.111.67,aki-a71cf9ce,10.68.5.178,,,widget-node-1,ip-10-68-5-178.ec2.internal,,1337095963000,i386,instance-store,ari-a51cf9cc,,
,,i-cd0feda0,ami-27d4964e,taf-webservers,website,vmHJT1377678014495,,0,ec2-54-221-248-193.compute-1.amazonaws.com,,,54.221.248.193,aki-a71cf9ce,10.12.131.13,,,website,ip-10-12-131-13.ec2.internal,,1377678015000,i386,instance-store,ari-a51cf9cc,,
,,i-78799a00,ami-f629849f,taf-webservers,web-lb-nginx,,,0,ec2-174-129-203-152.compute-1.amazonaws.com,,,174.129.203.152,aki-407d9529,10.28.120.149,,,web-lb-nginx,ip-10-28-120-149.ec2.internal,,1341030684000,i386,ebs,,,/dev/sda1
,,i-cec32fb6,ami-004ae769,taf-databases,supression-db-node,,,0,ec2-23-21-219-60.compute-1.amazonaws.com,,,23.21.219.60,aki-427d952b,10.220.158.17,,,suplist-db,domU-12-31-38-04-9D-E3.compute-1.internal,,1370862464000,x86_64,ebs,,,/dev/sda1
,,i-d4d73bac,ami-9e2b86f7,taf-webservers,geoip-lb-node,,,0,ec2-23-23-198-62.compute-1.amazonaws.com,,,23.23.198.62,aki-427d952b,10.168.30.187,,,geoip-lb-node,ip-10-168-30-187.ec2.internal,,1364568310000,x86_64,ebs,,,/dev/sda1
,,i-6430dc1c,ami-7c248915,taf-webservers,ftp-processor,,,0,ec2-23-21-210-29.compute-1.amazonaws.com,,,23.21.210.29,aki-a71cf9ce,10.91.26.206,,,ftp-processor,ip-10-91-26-206.ec2.internal,,1341050856000,i386,instance-store,ari-a51cf9cc,,
,,i-5943d022,ami-7308a21a,taf-webservers,terminix-webserver,CQhiG1344862637405,,0,ec2-174-129-17-203.compute-1.amazonaws.com,,,174.129.17.203,aki-a71cf9ce,10.209.178.232,,,terminix-webserver,domU-12-31-39-07-B1-1A.compute-1.internal,,1344862637000,i386,instance-store,ari-a51cf9cc,,
,,i-4799483a,ami-6913a100,ops-keypair,operations,,,0,ec2-50-17-233-112.compute-1.amazonaws.com,,,50.17.233.112,aki-407d9529,10.192.179.176,,,operations,domU-12-31-39-0E-B0-42.compute-1.internal,,1348829083000,i386,ebs,,,/dev/sda1
,,i-97c740ea,ami-19358870,taf-ing-tmx,ing-staging,,,0,ec2-107-20-251-199.compute-1.amazonaws.com,,,107.20.251.199,aki-a71cf9ce,10.32.155.248,,,ing-staging,ip-10-32-155-248.ec2.internal,,1349240164000,i386,instance-store,ari-a51cf9cc,,
,,i-bace82c7,ami-137bcf7a,sftp-key,sftp-node,,,0,ec2-107-21-205-67.compute-1.amazonaws.com,,,107.21.205.67,aki-825ea7eb,10.86.153.174,,,sftp-node,ip-10-86-153-174.ec2.internal,,1358236414000,x86_64,ebs,,,/dev/sda1
,,i-60897310,ami-ff8d1896,taf-databases,spamcontrol-db-node,,,0,ec2-75-101-152-50.compute-1.amazonaws.com,,,75.101.152.50,aki-427d952b,10.86.206.72,,,spamcontrol-db-node,ip-10-86-206-72.ec2.internal,,1359220548000,x86_64,ebs,,,/dev/sda1
,,i-e2ac6992,ami-416ce628,taf-databases,newanalytics-slave-db,,,0,ec2-50-16-241-8.compute-1.amazonaws.com,,,50.16.241.8,aki-427d952b,10.123.43.116,,,newanalytics-slave-db,ip-10-123-43-116.ec2.internal,,1359128262000,x86_64,ebs,,,/dev/sda1
,,i-e622ee96,ami-bab10ad3,taf-databases,databases-analytics,,,0,ec2-184-73-193-235.compute-1.amazonaws.com,,,184.73.193.235,aki-427d952b,10.39.122.141,,,databases-analytics,ip-10-39-122-141.ec2.internal,,1359212253000,x86_64,ebs,,,/dev/sda1
,,i-be16c4ce,ami-1d1b8e74,stdrive-key,stdrive-server,,,0,ec2-107-21-227-20.compute-1.amazonaws.com,,,107.21.227.20,aki-825ea7eb,10.122.97.198,,,stdrive-server,ip-10-122-97-198.ec2.internal,,1359365650000,x86_64,ebs,,,/dev/sda1
,,i-ecb9049c,ami-a94fdbc0,taf-webservers,rewards,,,0,ec2-174-129-28-219.compute-1.amazonaws.com,,,174.129.28.219,aki-a71cf9ce,10.35.90.230,,,rewards,ip-10-35-90-230.ec2.internal,,1359614919000,i386,instance-store,ari-a51cf9cc,,
,,i-d7dea4a7,ami-3fec7956,taf-webservers,redis-queue-master,eXAXc1360161479782,,0,ec2-54-243-144-25.compute-1.amazonaws.com,,,54.243.144.25,aki-88aa75e1,10.86.210.183,,,redis-queue-master,ip-10-86-210-183.ec2.internal,,1360645459000,x86_64,ebs,,,/dev/sda1
,,i-7831af0b,ami-3fec7956,puppetmaster,st-puppetmaster,bPeUN1361964007964,,0,ec2-54-243-143-83.compute-1.amazonaws.com,,,54.243.143.83,aki-88aa75e1,10.170.40.105,,,st-puppetmaster,ip-10-170-40-105.ec2.internal,,1361964008000,x86_64,ebs,,,/dev/sda1
,,i-22563a51,ami-d6c05dbf,taf-databases,testnewanalytics-db,drLmq1362052351279,,0,ec2-107-20-187-235.compute-1.amazonaws.com,,,107.20.187.235,aki-427d952b,10.211.37.198,,,,domU-12-31-39-0A-26-3C.compute-1.internal,,1369129466000,x86_64,ebs,,,/dev/sda1
,,i-1db58372,ami-3fec7956,taf-webservers,programs-node,JIMwo1363927530121,,0,ec2-54-225-134-177.compute-1.amazonaws.com,,,54.225.134.177,aki-88aa75e1,10.62.78.59,,,programs-node,ip-10-62-78-59.ec2.internal,,1363927530000,x86_64,ebs,,,/dev/sda1
,,i-f0e02a9a,ami-2ab9dc43,taf-developers,data-analysis-node,WaCld1364996460746,,0,ec2-54-225-88-125.compute-1.amazonaws.com,,,54.225.88.125,aki-427d952b,10.90.166.219,,,data-analysis-node,ip-10-90-166-219.ec2.internal,,1364996461000,x86_64,ebs,,,/dev/sda1
